央视频道,#genre#
CCTV-1,http://120.76.248.139/live/bfgd/4200000501.m3u8
CCTV-2,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-6,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-7,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-16,https://cors-anywhere.yidianzhishi.cn/http://171.118.79.187:9003/hls/17/index.m3u8
CCTV-17,http://120.76.248.139/live/bfgd/4200000204.m3u8

CCTV-1,http://sh.lnott.top:880/dx01.m3u8
CCTV-2,http://sh.lnott.top:880/dx02.m3u8
CCTV-3,http://sh.lnott.top:880/dx03.m3u8
CCTV-4,http://sh.lnott.top:880/dx04.m3u8
CCTV-5,http://sh.lnott.top:880/dx05.m3u8
CCTV-5+,http://sh.lnott.top:880/dx16.m3u8
CCTV-6,http://sh.lnott.top:880/dx06.m3u8
CCTV-7,http://sh.lnott.top:880/dx07.m3u8
CCTV-8,http://sh.lnott.top:880/dx08.m3u8
CCTV-9,http://sh.lnott.top:880/dx09.m3u8
CCTV-10,http://sh.lnott.top:880/dx10.m3u8
CCTV-11,http://sh.lnott.top:880/dx11.m3u8
CCTV-12,http://sh.lnott.top:880/dx12.m3u8
CCTV-13,http://sh.lnott.top:880/dx13.m3u8
CCTV-14,http://sh.lnott.top:880/dx14.m3u8
CCTV-15,http://sh.lnott.top:880/dx15.m3u8
CCTV-16,http://sh.lnott.top:880/dx201.m3u8
CCTV-17,http://sh.lnott.top:880/dx17.m3u8
电视指南,http://sh.lnott.top:880/dx97.m3u8
央视文化精品,http://sh.lnott.top:880/dx104.m3u8
兵器科技,http://sh.lnott.top:880/dx81.m3u8
第一剧场,http://sh.lnott.top:880/dx103.m3u8
风云足球,http://sh.lnott.top:880/dx71.m3u8
风云音乐,http://sh.lnott.top:880/dx73.m3u8
世界地理,http://sh.lnott.top:880/dx72.m3u8
风云剧场,http://sh.lnott.top:880/dx94.m3u8
女性时尚,http://sh.lnott.top:880/dx105.m3u8
怀旧剧场,http://sh.lnott.top:880/dx95.m3u8
高尔夫网球,http://sh.lnott.top:880/dx98.m3u8
央视台球,http://sh.lnott.top:880/dx82.m3u8

卫视频道,#genre#
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8
湖南卫视,http://120.76.248.139/live/bfgd/4200000086.m3u8
浙江卫视,http://120.76.248.139/live/bfgd/4200000094.m3u8
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8
天津卫视,https://cors-anywhere.yidianzhishi.cn/http://111.43.126.240:9003/hls/46/index.m3u8
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000058.m3u8
吉林卫视,http://120.76.248.139/live/bfgd/4200000097.m3u8
黑龙江卫视,http://120.76.248.139/live/bfgd/4200000095.m3u8
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8
河南卫视,http://120.76.248.139/live/bfgd/4200000339.m3u8
江西卫视,http://120.76.248.139/live/bfgd/4200000098.m3u8
湖北卫视,http://120.76.248.139/live/bfgd/4200000102.m3u8
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8
河北卫视,http://120.76.248.139/live/bfgd/4200000108.m3u8
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8
广西卫视,http://120.76.248.139/live/bfgd/4200000116.m3u8
云南卫视,http://120.76.248.139/live/bfgd/4200000482.m3u8
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
甘肃卫视,http://120.76.248.139/live/bfgd/4200000119.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000512.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
海南卫视,http://120.76.248.139/live/bfgd/4200000473.m3u8
三沙卫视,https://cors-anywhere.yidianzhishi.cn/http://hbhyjq.ufyct.com:1088/hls/7/index.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
新疆卫视,https://cors-anywhere.yidianzhishi.cn/http://111.43.126.240:9003/hls/64/index.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8

广东卫视,http://sh.lnott.top:880/dx40.m3u8
海南卫视,http://sh.lnott.top:880/dx58.m3u8
浙江卫视,http://sh.lnott.top:880/dx32.m3u8
吉林卫视,http://sh.lnott.top:880/dx37.m3u8
湖北卫视,http://sh.lnott.top:880/dx42.m3u8
江苏卫视,http://sh.lnott.top:880/dx33.m3u8
重庆卫视,http://sh.lnott.top:880/dx46.m3u8
甘肃卫视,http://sh.lnott.top:880/dx56.m3u8
北京卫视,http://sh.lnott.top:880/dx29.m3u8
东方卫视,http://sh.lnott.top:880/dx35.m3u8
山东卫视,http://sh.lnott.top:880/dx38.m3u8
山西卫视,http://sh.lnott.top:880/dx39.m3u8
河南卫视,http://sh.lnott.top:880/dx44.m3u8
东南卫视,http://sh.lnott.top:880/dx47.m3u8
厦门卫视,http://sh.lnott.top:880/dx48.m3u8
云南卫视,http://sh.lnott.top:880/dx49.m3u8
贵州卫视,http://sh.lnott.top:880/dx50.m3u8
陕西卫视,http://sh.lnott.top:880/dx51.m3u8
内蒙古卫视,http://sh.lnott.top:880/dx52.m3u8
宁夏卫视,http://sh.lnott.top:880/dx53.m3u8
青海卫视,http://sh.lnott.top:880/dx54.m3u8
新疆卫视,http://sh.lnott.top:880/dx55.m3u8
西藏卫视,http://sh.lnott.top:880/dx57.m3u8
兵团卫视,http://sh.lnott.top:880/dx59.m3u8
河北卫视,http://sh.lnott.top:880/dx63.m3u8
延边卫视,http://sh.lnott.top:880/dx202.m3u8
黑龙江卫视,http://sh.lnott.top:880/dx36.m3u8
湖南卫视,http://sh.lnott.top:880/dx31.m3u8
深圳卫视,http://sh.lnott.top:880/dx61.m3u8
四川卫视,http://sh.lnott.top:880/dx45.m3u8
农林卫视,http://sh.lnott.top:880/dx60.m3u8
辽宁卫视,http://sh.lnott.top:880/dx19.m3u8
江西卫视,http://sh.lnott.top:880/dx43.m3u8
安徽卫视,http://sh.lnott.top:880/dx34.m3u8
广西卫视,http://sh.lnott.top:880/dx41.m3u8
天津卫视,http://sh.lnott.top:880/dx30.m3u8

动漫频道,#genre#
金鹰卡通,http://120.76.248.139/live/bfgd/4200000350.m3u8
嘉佳卡通,https://cors-anywhere.yidianzhishi.cn/http://hbhyjq.ufyct.com:1088/hls/52/index.m3u8
哈哈炫动,https://cors-anywhere.yidianzhishi.cn/http://111.43.126.240:9003/hls/72/index.m3u8
